imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
4633690,,Shot Caller (2017),,,"$5,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$225,304",,,,,,"$16,046",,,,,,,,,,,,,
5029602,,Brice 3 (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,897",,,,,,,,,,,,,,,,,,,
3080844,,Almost Holy (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,815",,,
5954304,,The Dragon Spell (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$510,853",,,,,,,,,,,,,
0171408,,July Rain (1967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,461",,,"$45,072",,,,,,,,,,,,,,,,,,,
5322012,,Wish Upon (2017),"$215,718",,,,,,"$102,174","$989,837",,,,"$385,122",,,,,,,,,,,"$95,816","$2,336,094","$432,669",,"$115,982",,,,"$16,554",,,,"$309,340",,,,,,,,,,"$1,361,317",,"$409,309",,,,,,,,"$40,557",,,,,,,"$658,226",,,,,"$22,026","$385,757","$833,204",,,,"$77,754",,,"$19,752","$297,862","$50,730","$11,281",,
3564472,,Girls Trip (2017),,,"$3,868,970","$223,638",,,,,,,,,,,,,,,,"$191,945",,,,"$1,183,974","$967,365",,,,,,,,,,"$87,223",,,,,,,,,,,,"$1,838,766","$389,133",,,,,,,,"$108,917","$3,244",,,,"$217,227",,,"$32,375",,,"$1,546,796",,"$40,855","$581,777","$571,368","$222,958","$4,916","$905,917",,,,"$11,711,797",,,
5390504,,Detroit (2017),"$17,960",,"$175,876",,,,,,,,,"$18,746",,,,,,,,,,,,"$2,380,815",,,"$43,599",,,,,,,,"$205,062",,,,,,,,,,,,"$258,182","$20,837",,,,,,,,,,,"$32,332",,,,,,,,"$26,257","$173,203","$70,582",,,,,,,,"$126,561","$3,014,949",,,
5990474,,Columbus (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,824",,,,,,,,,"$55,475",,,,,,,,,,"$6,671",,,
6367558,,Double Lover (2017),"$32,557",,,,,,,"$43,733","$10,360",,,,,"$5,695",,"$17,490",,,,,,,,"$2,967,457",,,"$18,213",,,"$31,209",,,,,"$59,248",,,,,,,,"$19,906",,"$97,163",,"$307,426","$21,597",,,,,,,"$1,868",,,"$160,916","$6,978",,"$18,975","$401,756",,,"$7,717","$3,837",,"$82,448","$349,726",,,,,,"$33,952","$54,666",,"$79,462","$6,641",,
0479751,,Sivaji (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,435,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5884234,,First Kill (2017),"$61,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,070",,,,,,,,,,,,,,,,,,,,,,,,"$13,040",,
5144348,,Burden (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,997",,,
2121382,,Force Majeure (2014),"$25,994",,"$43,766","$44,763",,"$59,434",,$315,,,,,,,,,,,,,,"$53,058","$122,080","$622,896",$222,,"$109,002",,"$49,802","$16,038",,,,,"$216,209",,,,,,,,,,,,"$279,261","$102,529",,,,,,,,,,,,,$104,,,,"$1,572",,,,"$216,555",,,,,,,,,"$761,992","$9,250",,
4531694,,Pattaya (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,923",,,,,,,,,,,,,,,,,,,
1843880,,Code Blue (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,612",,,,,,,,,,,,,,,,,,,,,,,,,
0420318,,Wesele (2004),,,,"$3,323",,,,,$679,,,,,,,,,,,,,,,,"$3,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$693,911",,,,,,,,,,,,,,,,,,,,,,,
2194497,,Coming Home (2012),,,,,,,,"$21,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0794399,,We're All Christs (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$863,107",,,,,,,,,,,,,,,,,,,,$535,,,
3655972,,The Olive Tree (2016),,,,,,,,,,,,"$25,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5609734,,Bye Bye Germany (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,364",,,,,,,"$93,839",,,,,,,,,,,,
5804948,,With Open Arms (2017),,,,,,,,,,,,,,,,"$79,017",,,,,,,,"$7,865,057",,,"$320,321",,,"$15,924",,,,,"$225,224",,,,,,,,"$23,985",,,,"$50,638",,,,,,,,,,,"$92,234","$488,564",,,"$153,183",,,"$57,323",,,,"$190,384",,,,,,,,,,,,
2441982,,The Visitors: Bastille Day (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$288,594",,,,,,,,,,,,,,,,,,,
0478737,,Treasure Raiders (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$846,114",,,,,,,,,,,,,,,,,,,
5502766,,Phillauri (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,821,257",,,,,,,,,,,,,,,,"$44,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$354,422","$116,763",,,
0477340,,Dead Daughters (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,414,961",,,,,,,,,,,,,,,,,,,
1002760,,Two in One (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,506",,,,,,,,,,,,,,,,,,,
2147597,,Z'olushka (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,169,134",,,,,,,,,,,,,,,,,,,
2258565,,Samoubiytsy (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,963,987",,,,,,,,,,,,,,,,,,,
0933361,,Dikari (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,328,612",,,,,,,,,,,,,,,,,,,
1186656,,Kacheli (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$750,665",,,,,,,,,,,,,,,,,,,
1110037,,Antidur (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,412,587",,,,,,,,,,,,,,,,,,,
1489253,,The Phobos (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$585,388",,,,,,,,,,,,,,,,,,,
5690142,,Mom (2017),,,"$61,322",,,,,,,,"$16,082,564",,,,,,,,,,,,,,,,,,,,,"$4,364,134",,,,,,,,,,,,,,,,"$21,777",,,"$6,728",,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,874",,,
