Movie Name,United Kingdom,India,Australia,New Zealand,Malaysia,South Korea,Russia/CIS,Thailand,Domestic,France,Finland,Spain,Netherlands,Norway,Italy,Hungary,Czech Republic,Türkiye,Ukraine,Portugal,Colombia,China,Japan,Hong Kong,Taiwan,Philippines,Singapore,Germany,Poland,Belgium,Sweden,Austria,Switzerland,United Arab Emirates,Switzerland (German),Denmark,South Africa,Romania,Switzerland (French),Slovakia,Bulgaria,Lithuania,Iceland,Slovenia,Mexico,Brazil,Argentina,Chile,Venezuela,Israel,Greece,Bahrain,Estonia,Croatia,Lebanon,Latvia,Egypt,Oman,Jordan,Serbia and Montenegro,Bolivia,Uruguay,Vietnam,Peru,Paraguay,Indonesia,Dominican Republic,Qatar,Ecuador,Panama,Pakistan,Cambodia,Central America,Kuwait,Nigeria,Kenya,Ethiopia
The Love Witch (2016),"$17,324",,"$6,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jai Gangaajal (2016),,"$6,777,138",,"$25,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulaab Gang (2014),,"$2,330,999",,"$10,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pele: Birth of a Legend (2016),,"$276,523",,,,,"$105,897",,,,,"$13,062",,,"$2,191,284",,,"$26,644","$6,455","$6,728",,"$4,110,791","$313,304","$142,283",,,"$53,802",,,,,,,"$63,131",,,"$13,330",,,,"$5,314",,"$8,567",,"$170,644","$14,311",,,,,"$22,338","$4,286",,"$3,437",,,,"$6,545",,,"$14,124",,,"$121,556",,,,"$7,759","$8,987",,,,,"$45,538",,,
Book of Love (2016),,,"$392,873","$91,351",,,,,,,,,,,,,,,,,,"$114,130,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huo guo ying xiong (2016),,,"$168,867","$32,369",,,,,,,,,,,,,,,,,,"$57,098,935",,,,,"$26,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azhar (2016),,,"$37,844","$24,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside Men (2015),,,"$55,252","$18,066",,"$61,580,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Udta Punjab (2016),,,"$182,385","$49,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three (2016),,,"$25,060","$8,591",,,,,,,,,,,,,,,,,,"$14,968,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slack Bay (2016),,,"$11,828",,,"$6,975","$49,008",,,"$4,281,509",,"$134,299","$54,286",,"$10,082","$9,911","$5,715",,,"$15,770",,,,,,,,,"$28,532",,,,,,,,,,"$123,219",,,"$2,344","$4,224","$4,464",,,"$56,523",,,,"$9,318",,,,,,,,,,,"$4,818",,,,,,,,,,,,,,,
Goldstone (2016),,,"$552,757",,,,,,"$87,639",,,,,,"$9,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up for Love (2016),,,"$94,721","$23,235",,"$77,665","$618,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman: The Killing Joke (2016),,,"$330,386","$38,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$218,007",,"$99,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paths of the Soul (2015),,,,$389,,,,,"$31,747",,,,,,,,,,,,,"$15,409,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umrika (2015),,,,"$63,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office (2015),,,,"$6,087","$45,989",,,,,,,,,,,,,,,,,"$7,400,000",,"$680,645","$64,254",,"$29,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamitabh (2015),,,,"$7,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psycho Raman (2016),,,,"$1,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finding Mr. Right (2013),,,,,"$13,321",,,,,,,,,,,,,,,,,"$82,680,000",,"$1,343,561",,,"$68,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before I Wake (2016),,,,,"$117,741","$60,983","$1,016,441","$83,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$706,653","$211,166","$101,017",,,,,,,,,,,,,,"$30,420",,,,,,,,,,,,,,,,
Gangnam 1970 (2015),,,,,"$12,398","$15,863,084",,"$30,931",,,,,,,,,,,,,,,,"$153,198",,"$68,115","$45,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Drummer (2007),,,,,"$37,527",,"$13,087",,,,,,,,,,,,,,,"$47,238",,"$43,484","$7,260",,"$20,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronicles of Evil (2015),,,,,,"$15,315,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,885",,,,,,,,,,,,,,
A Serious Game (2016),,,,,,"$40,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café. Waiting. Love (2014),,,,,,"$34,800",,,,,,,,,,,,,,,,"$1,140,000",,"$3,012,967",,,"$560,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like Crazy (2016),,,,,,"$54,791",,,"$107,362","$877,947","$38,464","$655,602","$194,661",,"$6,788,270",,,,,"$20,882","$44,555",,,,,,,,,,,,,,,,,"$16,503","$52,642","$2,513","$36,428",,,,,"$18,958","$52,470",,,,"$78,873",,,,,,,,,,,"$5,737",,,,,,,,,,,,,,,
Genius (2016),,,,,,"$180,346","$446,130",,,"$482,584",,"$672,762","$94,867",,"$899,000",,,"$29,168","$41,648","$29,058","$24,961","$2,141,293","$392,110",,,,,"$189,173",,"$31,539",,,,"$34,199",,,"$29,464",,,,"$16,810","$24,616",,,"$170,044","$130,626",,,,,,,,,,,,,,,,,,"$13,563",,,,,,,,,,,,,
Detective K: Secret of the Lost Island (2015),,,,,,"$27,202,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Right Now, Wrong Then (2015)",,,,,,"$549,795",,,,,,"$91,780",,,,,,,,"$11,406",,,,,,,,,,,,"$3,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's Only the End of the World (2016),,,,,,"$209,593","$286,481","$2,871",,,,,,,,,,,,,"$28,141",,,,,,,,,,,,,,,,,,,,,,,,,,"$41,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Benefactor (2015),,,,,,"$27,523",,,,,,,,,,,,,,,,,,,,,"$2,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scream of the Ants (2006),,,,,,,"$18,700",,,,,,,,"$169,501",,,,,,,,,,"$9,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Curse of Sleeping Beauty (2016),,,,,,,"$34,453",,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,664",,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,764",,,,,,,,,,,,,,,,
Flamenco Flamenco (2010),,,,,,,"$37,381",,"$71,732",,,"$303,966",,,,,,,,,,,,"$1,051",,,,,"$7,487","$5,444",,,,,,,,,,,,,,,,,"$19,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urge (2016),,,,,,,"$43,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Dragon Arrives! (2016),,,,,,,"$20,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Unknown (2016),,,,,,,"$16,864",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,975",,,,,,,,,,,,,,,,,"$4,873",,,,,,,,,,,,,,,,,,,,,,,,,,
Blackway (2015),,,,,,,"$4,675",,,,,,,,"$226,650",,,,,"$26,628",,,,,,,,,,,,,,"$71,325",,,,,,,,,,,"$70,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockholm (2013),,,,,,,"$116,544",,,,,"$68,690",,,,,,,"$23,570","$36,819",,,,,,,,,,,,,,,,,"$6,957",,,,,,,,"$55,192",,,,,,"$43,568",,,,,,,,,,,,,,,,,,,,,,,,,,
Second Chance (2010),,,,,,,"$1,116,951",,,"$9,163,162",,"$201,099",,,"$1,449,548",,,,,"$3,785",,,,,,,,,"$291,531","$411,946",,,,,,,,,,,,,,,"$183,396",,,,,,"$129,598",,,,,,,,,"$8,887",,,,,,,,,,,,,,,,,
Argentina (2015),,,,,,,"$5,657",,,,,"$3,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Here (2011),,,,,,,"$4,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilante Diaries (2016),,,,,,,"$6,739",,,,,,,,,,,,,,,,,,,,,,,,,,,"$168,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will You Still Love Me Tomorrow? (2013),,,,,,,,"$2,305",,,,,,,,,,,,,,,,"$67,868",,,"$16,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hero of Color City (2014),,,,,,,,,"$32,188",,,,,,,,,,,,,,,,,,,,,,,,,"$83,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next Time I'll Aim for the Heart (2014),,,,,,,,,,"$3,335,957",,,,,,,,,,,,,,,,,,,,"$71,369",,,,,,,,,,,,,,,,"$10,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irène (2002),,,,,,,,,,"$1,009,720",,,,,,,,,,"$9,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb (2015),,,,,,,,,,,,"$16,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Feels Good (2013),,,,,,,,,,,,"$2,454",,,,,,,,,,,,,,,,,"$1,436,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost Human (2013),,,,,,,,,,,,$161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Estudiante (2009),,,,,,,,,,,,"$39,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,041,991","$41,846",,,"$40,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rezort (2015),,,,,,,,,,,,"$2,309",,,,,,,,,,,,,,,,,,,,,,"$27,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last King (2016),,,,,,,,,,,,"$6,491",,"$3,588,955",,"$1,434",,,,,,,,,,,,,,,,,,"$97,469",,,,"$2,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let's Talk (2015),,,,,,,,,,,,,,,"$578,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film Noir (2007),,,,,,,,,,,,,,,,$511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,604",,,,,,"$3,677",,,,,,,,,,,,,,,,,,,,,,,,,,
Satanic (2016),,,,,,,,,,,,,,,,,,"$21,020",,,"$143,609",,,,,,,,,,,,,,,,,,,,,,,,,,"$109,948",,,,,,,,,,,,,,"$68,544","$5,810",,,,,,,,,,,,,,,
Kóblic (2016),,,,,,,,,,,,,,,,,,,,,"$11,049",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,325,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauders (2016),,,,,,,,,,,,,,,,,,,,,"$256,210","$603,269",,,,,,,,,,,,,,,,,,,,,,,"$250,132",,"$50,733",,,,,,,,,,,,,,"$20,244",,,,,,,,,,,,,,,,
Bad Guys Always Die (2015),,,,,,,,,,,,,,,,,,,,,,"$4,847,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Stool Pigeon (2010),,,,,,,,,,,,,,,,,,,,,,"$7,741,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nise: The Heart of Madness (2015),,,,,,,,,,,,,,,,,,,,,,"$137,765",,,,,,,,,,,,,,,,,,,,,,,,"$641,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Final Master (2015),,,,,,,,,,,,,,,,,,,,,,"$8,551,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Love Hong Kong (2011),,,,,,,,,,,,,,,,,,,,,,"$4,189,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Extraordinary Voyage (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Adderall Diaries (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's Not You, It's Me (2010)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,918,017",,,,,,,,,,,,,,,,"$44,028",,,,,,,,,,,,,,,,
I Married a Dumbass (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,420","$9,148,078",,,,,,,,,,,,,,,"$497,444",,,,,,,,,,,,,,,
An Episode in the Life of an Iron Picker (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Skinny Sister (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatles (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Filter (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$174,"$4,402,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Corpse of Anna Fritz (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Steal from a Thief (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,549,310",$110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Kid (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Good Life (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$152,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
